cell_code,geometry
A4,"LINESTRING (-113.600000 33.600000,-113.400000 33.600000,-113.400000 33.400000,-113.600000 33.400000,-113.600000 33.600000,)"
B2,"LINESTRING (-113.400000 34.000000,-113.200000 34.000000,-113.200000 33.800000,-113.400000 33.800000,-113.400000 34.000000,)"
B3,"LINESTRING (-113.400000 33.800000,-113.200000 33.800000,-113.200000 33.600000,-113.400000 33.600000,-113.400000 33.800000,)"
B4,"LINESTRING (-113.400000 33.600000,-113.200000 33.600000,-113.200000 33.400000,-113.400000 33.400000,-113.400000 33.600000,)"
B5,"LINESTRING (-113.400000 33.400000,-113.200000 33.400000,-113.200000 33.200000,-113.400000 33.200000,-113.400000 33.400000,)"
B6,"LINESTRING (-113.400000 33.200000,-113.200000 33.200000,-113.200000 33.000000,-113.400000 33.000000,-113.400000 33.200000,)"
B7,"LINESTRING (-113.400000 33.000000,-113.200000 33.000000,-113.200000 32.800000,-113.400000 32.800000,-113.400000 33.000000,)"
B8,"LINESTRING (-113.400000 32.800000,-113.200000 32.800000,-113.200000 32.600000,-113.400000 32.600000,-113.400000 32.800000,)"
C1,"LINESTRING (-113.200000 34.200000,-113.000000 34.200000,-113.000000 34.000000,-113.200000 34.000000,-113.200000 34.200000,)"
C2,"LINESTRING (-113.200000 34.000000,-113.000000 34.000000,-113.000000 33.800000,-113.200000 33.800000,-113.200000 34.000000,)"
C3,"LINESTRING (-113.200000 33.800000,-113.000000 33.800000,-113.000000 33.600000,-113.200000 33.600000,-113.200000 33.800000,)"
C4,"LINESTRING (-113.200000 33.600000,-113.000000 33.600000,-113.000000 33.400000,-113.200000 33.400000,-113.200000 33.600000,)"
C5,"LINESTRING (-113.200000 33.400000,-113.000000 33.400000,-113.000000 33.200000,-113.200000 33.200000,-113.200000 33.400000,)"
C6,"LINESTRING (-113.200000 33.200000,-113.000000 33.200000,-113.000000 33.000000,-113.200000 33.000000,-113.200000 33.200000,)"
C7,"LINESTRING (-113.200000 33.000000,-113.000000 33.000000,-113.000000 32.800000,-113.200000 32.800000,-113.200000 33.000000,)"
C8,"LINESTRING (-113.200000 32.800000,-113.000000 32.800000,-113.000000 32.600000,-113.200000 32.600000,-113.200000 32.800000,)"
D1,"LINESTRING (-113.000000 34.200000,-112.800000 34.200000,-112.800000 34.000000,-113.000000 34.000000,-113.000000 34.200000,)"
D2,"LINESTRING (-113.000000 34.000000,-112.800000 34.000000,-112.800000 33.800000,-113.000000 33.800000,-113.000000 34.000000,)"
D3,"LINESTRING (-113.000000 33.800000,-112.800000 33.800000,-112.800000 33.600000,-113.000000 33.600000,-113.000000 33.800000,)"
D4,"LINESTRING (-113.000000 33.600000,-112.800000 33.600000,-112.800000 33.400000,-113.000000 33.400000,-113.000000 33.600000,)"
D5,"LINESTRING (-113.000000 33.400000,-112.800000 33.400000,-112.800000 33.200000,-113.000000 33.200000,-113.000000 33.400000,)"
D6,"LINESTRING (-113.000000 33.200000,-112.800000 33.200000,-112.800000 33.000000,-113.000000 33.000000,-113.000000 33.200000,)"
D7,"LINESTRING (-113.000000 33.000000,-112.800000 33.000000,-112.800000 32.800000,-113.000000 32.800000,-113.000000 33.000000,)"
D8,"LINESTRING (-113.000000 32.800000,-112.800000 32.800000,-112.800000 32.600000,-113.000000 32.600000,-113.000000 32.800000,)"
D9,"LINESTRING (-113.000000 32.600000,-112.800000 32.600000,-112.800000 32.400000,-113.000000 32.400000,-113.000000 32.600000,)"
E1,"LINESTRING (-112.800000 34.200000,-112.600000 34.200000,-112.600000 34.000000,-112.800000 34.000000,-112.800000 34.200000,)"
E2,"LINESTRING (-112.800000 34.000000,-112.600000 34.000000,-112.600000 33.800000,-112.800000 33.800000,-112.800000 34.000000,)"
E3,"LINESTRING (-112.800000 33.800000,-112.600000 33.800000,-112.600000 33.600000,-112.800000 33.600000,-112.800000 33.800000,)"
E4,"LINESTRING (-112.800000 33.600000,-112.600000 33.600000,-112.600000 33.400000,-112.800000 33.400000,-112.800000 33.600000,)"
E5,"LINESTRING (-112.800000 33.400000,-112.600000 33.400000,-112.600000 33.200000,-112.800000 33.200000,-112.800000 33.400000,)"
E6,"LINESTRING (-112.800000 33.200000,-112.600000 33.200000,-112.600000 33.000000,-112.800000 33.000000,-112.800000 33.200000,)"
E7,"LINESTRING (-112.800000 33.000000,-112.600000 33.000000,-112.600000 32.800000,-112.800000 32.800000,-112.800000 33.000000,)"
E8,"LINESTRING (-112.800000 32.800000,-112.600000 32.800000,-112.600000 32.600000,-112.800000 32.600000,-112.800000 32.800000,)"
F2,"LINESTRING (-112.600000 34.000000,-112.400000 34.000000,-112.400000 33.800000,-112.600000 33.800000,-112.600000 34.000000,)"
F3,"LINESTRING (-112.600000 33.800000,-112.400000 33.800000,-112.400000 33.600000,-112.600000 33.600000,-112.600000 33.800000,)"
F4,"LINESTRING (-112.600000 33.600000,-112.400000 33.600000,-112.400000 33.400000,-112.600000 33.400000,-112.600000 33.600000,)"
F5,"LINESTRING (-112.600000 33.400000,-112.400000 33.400000,-112.400000 33.200000,-112.600000 33.200000,-112.600000 33.400000,)"
F6,"LINESTRING (-112.600000 33.200000,-112.400000 33.200000,-112.400000 33.000000,-112.600000 33.000000,-112.600000 33.200000,)"
F7,"LINESTRING (-112.600000 33.000000,-112.400000 33.000000,-112.400000 32.800000,-112.600000 32.800000,-112.600000 33.000000,)"
G2,"LINESTRING (-112.400000 34.000000,-112.200000 34.000000,-112.200000 33.800000,-112.400000 33.800000,-112.400000 34.000000,)"
G3,"LINESTRING (-112.400000 33.800000,-112.200000 33.800000,-112.200000 33.600000,-112.400000 33.600000,-112.400000 33.800000,)"
G4,"LINESTRING (-112.400000 33.600000,-112.200000 33.600000,-112.200000 33.400000,-112.400000 33.400000,-112.400000 33.600000,)"
G5,"LINESTRING (-112.400000 33.400000,-112.200000 33.400000,-112.200000 33.200000,-112.400000 33.200000,-112.400000 33.400000,)"
G6,"LINESTRING (-112.400000 33.200000,-112.200000 33.200000,-112.200000 33.000000,-112.400000 33.000000,-112.400000 33.200000,)"
G7,"LINESTRING (-112.400000 33.000000,-112.200000 33.000000,-112.200000 32.800000,-112.400000 32.800000,-112.400000 33.000000,)"
G9,"LINESTRING (-112.400000 32.600000,-112.200000 32.600000,-112.200000 32.400000,-112.400000 32.400000,-112.400000 32.600000,)"
H1,"LINESTRING (-112.200000 34.200000,-112.000000 34.200000,-112.000000 34.000000,-112.200000 34.000000,-112.200000 34.200000,)"
H2,"LINESTRING (-112.200000 34.000000,-112.000000 34.000000,-112.000000 33.800000,-112.200000 33.800000,-112.200000 34.000000,)"
H3,"LINESTRING (-112.200000 33.800000,-112.000000 33.800000,-112.000000 33.600000,-112.200000 33.600000,-112.200000 33.800000,)"
H4,"LINESTRING (-112.200000 33.600000,-112.000000 33.600000,-112.000000 33.400000,-112.200000 33.400000,-112.200000 33.600000,)"
H5,"LINESTRING (-112.200000 33.400000,-112.000000 33.400000,-112.000000 33.200000,-112.200000 33.200000,-112.200000 33.400000,)"
H6,"LINESTRING (-112.200000 33.200000,-112.000000 33.200000,-112.000000 33.000000,-112.200000 33.000000,-112.200000 33.200000,)"
H7,"LINESTRING (-112.200000 33.000000,-112.000000 33.000000,-112.000000 32.800000,-112.200000 32.800000,-112.200000 33.000000,)"
H8,"LINESTRING (-112.200000 32.800000,-112.000000 32.800000,-112.000000 32.600000,-112.200000 32.600000,-112.200000 32.800000,)"
I2,"LINESTRING (-112.000000 34.000000,-111.800000 34.000000,-111.800000 33.800000,-112.000000 33.800000,-112.000000 34.000000,)"
I3,"LINESTRING (-112.000000 33.800000,-111.800000 33.800000,-111.800000 33.600000,-112.000000 33.600000,-112.000000 33.800000,)"
I4,"LINESTRING (-112.000000 33.600000,-111.800000 33.600000,-111.800000 33.400000,-112.000000 33.400000,-112.000000 33.600000,)"
I5,"LINESTRING (-112.000000 33.400000,-111.800000 33.400000,-111.800000 33.200000,-112.000000 33.200000,-112.000000 33.400000,)"
